Year,Water content measured (ppm),Total Acid Number (mgKOH/ g),"BreakdownVoltage (kV)",Dissipation Factor ,Colour,Interfacial Tension (mN/m),Class
1979,14,0.171,82,0.113,4,13,N
1979,23,0.261,26,0.087,4,13,N
1979,16,0.198,73,0.113,3,14,N
1979,11,0.234,70,0.092,4,15,N
1979,20,0.175,79,0.147,4,15,N
1979,17,0.146,96,0.059,3.5,15,N
1979,24,0.043,40,0.049,2,15,N
1979,25,0.174,63,0.058,3,16,B
1979,10,0.176,67,0.098,3,16,B
1979,19,0.187,45,0.108,0,16,B
1979,7,0.181,83,0.09,3,16,B
1960,13,0.103,78,0.06,3,16,B
1975,15,0.18,68,0.045,3,16,B
1976,2,0.06,73,0.043,3,16,B
1979,24,0.179,18,0.078,3,16,B
1979,13,0.117,77,0.073,3,16,B
1979,11,0.14,88,0.105,3,16,B
1960,22,0.088,58,0.068,3,16,B
1960,7,0.121,79,0.082,2,16,B
1979,14,0.153,98,0.097,3,16,B
1979,8,0.183,75,0.084,3,16,B
1979,14,0.186,80,0.061,3,16,B
1975,22,0.096,68,0.021,3,17,B
1979,7,0.122,89,0.103,3.5,17,B
1979,1,0.111,92,0.08,3,17,B
1979,11,0.116,95,0.07,3,17,B
1979,8,0.104,85,0.061,3,17,B
1976,9,0.099,70,0.035,1,17,B
1979,7,0.053,63,0.069,3,17,B
1991,1,0.073,27,0.036,3,17,B
1960,1,0.085,85,0.089,3,17,B
1991,12,0.102,87,0.084,3.5,17,B
1991,7,0.072,77,0.098,3.3,17,B
1979,8,0.144,76,0.059,3,17,B
1991,2,0.066,79,0.02,2,17,B
1979,13,0.1,52,0.054,3,18,B
1976,5,0.078,85,0.005,3,18,B
1976,7,0.087,72,0.054,3,18,B
1991,6,0.056,76,0.039,3,18,B
1976,4,0.029,82,0.041,2,18,B
1976,4,0.057,74,0.043,3,18,B
1976,7,0.079,56,0.048,3,18,B
1979,12,0.065,82,0.069,3,18,B
1979,9,0.076,68,0.058,3,18,B
1976,9,0.087,90.6,0.033,2,18,B
1991,6,0.046,93,0.022,2,18,B
1979,14,0.074,96,0.078,2,18,B
1991,3,0.068,39,0.041,3,18,B
1991,8,0.059,76,0.037,3,18,B
1991,11,0.061,72,0.034,3,18,B
1991,6,0.046,81,0.033,0,18,B
1976,3,0.029,82,0.042,3,18,B
1976,7,0.042,55,0.042,3,18,B
1976,8,0.035,85,0.041,2,19,B
1976,5,0.061,87,0.037,3,19,B
1979,11,0.08,87,0.034,2,19,B
1976,6,0.058,79,0.046,3,19,B
1976,22,0.055,76.9,0.036,3.5,19,B
1979,16,0.062,81,0.072,2,19,B
1976,15,0.041,87,0.053,1,19,B
1979,15,0.005,68,0.065,2,19,B
1991,8,0.063,68,0.017,2,19,B
1976,6,0.077,75,0.041,3,19,B
1976,4,0.059,73,0.051,3,19,B
1991,7,0.036,90,0.047,3,19,B
1991,7,0.052,63,0.047,3,19,B
1976,8,0.06,22,0.05,3,19,B
1976,7,0.025,82,0.041,3,19,B
1976,2,0.071,86,0.041,2,19,B
1976,3,0.043,67,0.042,3,19,B
1976,4,0.075,81,0.048,2,19,B
1991,2,0.055,80,0.036,3,19,B
